cpf,idade,endereco,bairro,estado
..***.***47,41.0,"rodovia sophia rodrigues, 88",vila independencia 2ª seção,RR
..***.***00,99.0,lagoa souza,copacabana,ES
..***.***60,24.0,"área ana sophia pereira, 32",minas caixa,TO
..***.***73,29.0,"viaduto de sales, 92",buraco quente,AL
..***.***19,90.0,"núcleo monteiro, 504",são bernardo,TO
..***.***67,38.0,núcleo ribeiro,vila nova cachoeirinha 1ª seção,PE
..***.***90,19.0,"praça ana júlia rezende, 38",vila coqueiral,PA
..***.***47,41.0,"avenida bruna rodrigues, 724",diamante,ES
..***.***19,45.0,"pátio rocha, 75",havaí,AC
..***.***24,40.0,"viaduto enzo gabriel moreira, 72",vila real 2ª seção,CE
..***.***50,20.0,"residencial ribeiro, 60",flamengo,RO
..***.***05,49.0,"travessa cardoso, 95",alta tensão 1ª seção,MT
..***.***71,24.0,quadra lorenzo pires,vila olhos d'água,AC
..***.***56,86.0,campo de souza,vila jardim são josé,RR
..***.***97,87.0,"via de da paz, 5",dona clara,AL
..***.***26,31.0,"trevo carvalho, 9",grajaú,BA
..***.***76,23.0,travessa novaes,boa vista,TO
..***.***60,71.0,"passarela de nascimento, 916",joão paulo ii,AL
..***.***97,72.0,"avenida de almeida, 78",vila atila de paiva,AL
..***.***65,24.0,avenida heloísa costa,cabana do pai tomás,AC
..***.***84,85.0,"núcleo farias, 97",lourdes,RR
..***.***53,90.0,"favela de lopes, 473",lagoinha leblon,PR
..***.***80,27.0,"quadra mariana costela, 87",grajaú,BA
..***.***92,89.0,"rua cardoso, 76",olhos d'água,MA
..***.***70,57.0,"pátio paulo da rosa, 93",belvedere,TO
..***.***41,70.0,feira cardoso,conjunto minas caixa,RN
..***.***20,99.0,"distrito giovanna rodrigues, 37",marieta 3ª seção,PR
..***.***74,73.0,estrada de ramos,garças,RO
..***.***02,31.0,"viela de moraes, 56",vila maria,MS
..***.***24,95.0,"área de novaes, 52",itapoa,ES
..***.***31,55.0,"viaduto freitas, 622",jardim atlântico,PE
..***.***55,74.0,"distrito thomas pires, 77",bairro das indústrias ii,MT
..***.***05,94.0,estrada melo,vila independencia 3ª seção,AM
..***.***96,64.0,"loteamento dias, 21",camponesa 1ª seção,RN
..***.***44,75.0,"colônia vieira, 6",milionario,SE
..***.***74,34.0,"aeroporto vinicius rezende, 18",conjunto são francisco de assis,PR
..***.***75,94.0,"praça almeida, 95",vila novo são lucas,AP
..***.***70,27.0,"trecho kevin castro, 70",são geraldo,PR
..***.***14,97.0,"passarela kamilly moreira, 704",cardoso,SP
..***.***73,88.0,"vereda jesus, 7",esplanada,SP
..***.***37,59.0,"viaduto de martins, 24",vila antena,RO
..***.***82,74.0,"largo cardoso, 23",vila nova gameleira 2ª seção,AL
..***.***38,75.0,"vila heloísa barbosa, 666",conjunto são francisco de assis,RN
..***.***53,89.0,residencial de aragão,andiroba,SC
..***.***66,27.0,"loteamento lopes, 2",vila satélite,CE
..***.***07,87.0,"estrada rebeca caldeira, 440",marçola,GO
..***.***07,64.0,quadra farias,jardim guanabara,RO
..***.***61,57.0,lagoa de farias,alta tensão 2ª seção,AL
..***.***10,42.0,"largo de da costa, 400",vila jardim alvorada,CE
..***.***49,20.0,"loteamento almeida, 821",conjunto santa maria,TO
..***.***38,25.0,"chácara clarice da costa, 135",cardoso,BA
..***.***52,77.0,"distrito nathan melo, 3",universitário,PA
..***.***02,65.0,"recanto nunes, 87",vila união,AP
..***.***03,45.0,"esplanada carvalho, 8",paulo vi,CE
..***.***69,25.0,"lago lima, 6",providencia,SP
..***.***60,49.0,"vale costela, 49",jonas veiga,MT
..***.***06,81.0,"lagoa sales, 43",vila santa monica 2ª seção,AL
..***.***39,97.0,viaduto nogueira,grota,RO
..***.***38,36.0,"jardim fernanda moura, 767",cdi jatoba,AM
..***.***28,20.0,"morro isaac freitas, 543",vila nova cachoeirinha 2ª seção,RR
..***.***33,58.0,"pátio de almeida, 4",mala e cuia,TO
..***.***68,94.0,"setor de da rosa, 401",nova vista,SP
..***.***61,74.0,"chácara de martins, 14",nossa senhora do rosário,RN
..***.***80,76.0,"ladeira de da mota, 16",vila jardim leblon,MT
..***.***70,33.0,"sítio thomas rodrigues, 41",são damião,AL
..***.***22,92.0,"travessa de correia, 46",guarani,AC
..***.***30,,passarela alexandre da cunha,vila coqueiral,RR
..***.***60,71.0,"jardim de barros, 16",vila califórnia,CE
..***.***20,63.0,"praça luiz henrique correia, 81",guaratã,PE
..***.***98,82.0,"lagoa luiza gonçalves, 979",piratininga,SE
..***.***02,65.0,"parque de barbosa, 57",anchieta,GO
..***.***00,41.0,"ladeira das neves, 9",nova floresta,PE
..***.***38,85.0,lago de cavalcanti,vila betânia,TO
..***.***20,76.0,"feira nogueira, 68",santo antônio,TO
..***.***30,54.0,setor de dias,são benedito,RS
..***.***40,97.0,"campo da mata, 42",morro dos macacos,MG
..***.***19,65.0,"parque dias, 687",paulo vi,PR
..***.***75,99.0,"colônia de viana, 6",pongelupe,SE
..***.***61,77.0,via da mata,bernadete,RO
..***.***80,39.0,"praça de duarte, 194",guarani,MT
..***.***30,35.0,"campo de moura, 60",primeiro de maio,RN
..***.***39,73.0,"área duarte, 628",conjunto lagoa,RR
..***.***70,48.0,"sítio de moura, 13",paraíso,RS
..***.***76,22.0,"rua de fogaça, 71",ouro preto,AM
..***.***66,88.0,"rua de martins, 9",união,AC
..***.***22,29.0,"esplanada ana laura oliveira, 667",ribeiro de abreu,DF
..***.***84,71.0,"esplanada almeida, 4",vila fumec,PR
..***.***52,88.0,morro de cardoso,camponesa 2ª seção,GO
..***.***06,79.0,residencial de duarte,vila união,PE
..***.***40,67.0,"praça almeida, 71",capitão eduardo,RJ
..***.***89,31.0,"praia costa, 35",jardim leblon,GO
..***.***52,38.0,"via luigi peixoto, 61",são gabriel,AP
..***.***17,44.0,"estrada diogo da mata, 91",vila nova cachoeirinha 3ª seção,PI
..***.***49,99.0,"rua kaique freitas, 8",universo,RR
..***.***09,61.0,viela de almeida,união,RN
..***.***39,95.0,lagoa joão pedro alves,das industrias i,PB
..***.***06,78.0,"trevo de cardoso, 40",vale do jatoba,RS
..***.***41,45.0,"favela erick pereira, 672",vila copacabana,AM
..***.***01,93.0,"vale igor castro, 928",maravilha,BA
..***.***25,68.0,"vereda de costa, 27",madre gertrudes,RN
..***.***37,84.0,"residencial nogueira, 954",vila oeste,PB
..***.***46,30.0,"fazenda maria ribeiro, 81",vila são paulo,SE
..***.***24,92.0,"viela de aragão, 291",união,RJ
..***.***02,60.0,"estrada de da costa, 92",vila do pombal,PA
..***.***68,29.0,"colônia de fogaça, 78",vila aeroporto jaraguá,AC
..***.***96,82.0,"campo de moura, 904",alto caiçaras,PE
..***.***20,49.0,"estação igor cunha, 21",pilar,PB
..***.***14,67.0,"estrada da conceição, 23",indaiá,MS
..***.***55,77.0,"morro de costela, 73",vila da luz,MG
..***.***59,38.0,"chácara da conceição, 2",juliana,BA
..***.***67,92.0,"feira de martins, 79",vitoria da conquista,PA
..***.***76,26.0,"colônia duarte, 56",marmiteiros,PE
..***.***32,40.0,"travessa joana gonçalves, 44",lajedo,AL
..***.***55,58.0,"sítio isis campos, 81",distrito industrial do jatoba,AC
..***.***12,30.0,lagoa santos,petropolis,MT
..***.***04,69.0,"ladeira de moura, 84",nova suíça,RR
..***.***93,72.0,"rodovia sales, 21",vila canto do sabiá,PI
..***.***39,56.0,"parque de costela, 668",aguas claras,TO
..***.***28,77.0,"fazenda cavalcanti, 859",alto barroca,MT
..***.***22,58.0,quadra de ferreira,cenaculo,PI
..***.***70,96.0,"via igor da mata, 81",laranjeiras,ES
..***.***50,83.0,"trevo joão pedro araújo, 7",sagrada família,DF
..***.***61,63.0,"condomínio da cunha, 4",unidas,PA
..***.***44,95.0,"parque henrique teixeira, 32",grotinha,RR
..***.***66,31.0,"vereda silveira, 8",bom jesus,RR
..***.***76,61.0,"avenida de araújo, 28",esplanada,RS
..***.***44,92.0,"fazenda letícia costela, 6",petropolis,AM
..***.***00,40.0,"campo peixoto, 75",independência,SC
..***.***92,37.0,"parque eloah costa, 91",são geraldo,RS
..***.***08,37.0,"rua de santos, 955",ambrosina,RS
..***.***20,28.0,"estrada sales, 13",jardim felicidade,RN
..***.***57,26.0,chácara miguel fogaça,laranjeiras,PE
..***.***13,65.0,"avenida de araújo, 1",nossa senhora da aparecida,GO
..***.***77,49.0,"vale de monteiro, 267",marieta 2ª seção,ES
..***.***51,85.0,"trecho luana barros, 338",santa maria,MG
..***.***75,99.0,"parque enzo almeida, 62",piratininga,AC
..***.***37,49.0,condomínio joana lima,piratininga,MT
..***.***57,53.0,"esplanada matheus da costa, 90",paulo vi,RN
..***.***24,82.0,"residencial novaes, 84",vila da amizade,PI
..***.***21,66.0,"praia ian da mota, 383",nova cintra,RO
..***.***55,60.0,rodovia emanuel da cruz,nova esperança,PE
..***.***01,43.0,"ladeira da cruz, 635",coqueiros,BA
..***.***55,65.0,"trecho cavalcanti, 3",acaba mundo,PR
..***.***09,48.0,"estação rocha, 975",marieta 2ª seção,SC
..***.***50,51.0,"vale de cavalcanti, 98",vila havaí,ES
..***.***62,54.0,"lago caldeira, 363",barão homem de melo 1ª seção,AM
..***.***48,92.0,"vila gomes, 366",serra,PB
..***.***77,76.0,"rodovia ana beatriz cardoso, 97",etelvina carneiro,PR
..***.***49,38.0,"vereda sales, 83",ouro minas,AL
..***.***08,28.0,"ladeira clara da cruz, 37",aparecida 7ª seção,PB
..***.***17,30.0,"setor de costa, 1",nova america,ES
..***.***26,53.0,"avenida castro, 718",santo agostinho,PE
..***.***03,41.0,"recanto isabel da conceição, 6",vila madre gertrudes 4ª seção,RS
..***.***57,47.0,"núcleo de rodrigues, 95",maria virgínia,AM
..***.***16,90.0,"setor de barros, 58",vila ouro minas,SP
..***.***43,58.0,"praia pietra caldeira, 60",túnel de ibirité,GO
..***.***39,,"quadra yasmin caldeira, 4",salgado filho,PE
..***.***75,24.0,praia de nogueira,califórnia,ES
..***.***04,51.0,"rua de castro, 65",vila jardim são josé,PA
..***.***74,20.0,"pátio antônio da mota, 79",maria virgínia,PR
..***.***35,78.0,setor de ferreira,lorena,RN
..***.***15,24.0,"vereda da rocha, 6",bandeirantes,MA
..***.***95,82.0,"parque de azevedo, 8",lagoinha leblon,AL
..***.***32,,"campo gabriela rodrigues, 9",piraja,AC
..***.***44,70.0,"via nogueira, 82",andiroba,SE
..***.***91,67.0,Endereço inválido,Desconhecido,Estado inválido
..***.***21,72.0,"trevo nicole da cruz, 7",conjunto providencia,RS
..***.***52,50.0,"campo erick fernandes, 464",são benedito,AC
..***.***89,62.0,quadra de martins,nazare,AM
..***.***28,80.0,"fazenda de ferreira, 76",conjunto paulo vi,MS
..***.***69,87.0,"estrada gabrielly rocha, 634",ouro minas,PA
..***.***48,68.0,"estação cardoso, 175",barão homem de melo 1ª seção,SC
..***.***07,22.0,"estrada duarte, 37",marmiteiros,MS
..***.***78,90.0,"praia moreira, 20",são jorge 2ª seção,TO
..***.***29,53.0,"largo de da cruz, 431",mangueiras,TO
..***.***09,41.0,"trevo de moraes, 78",bairro das indústrias ii,TO
..***.***60,34.0,"distrito kaique costa, 17",novo glória,RJ
..***.***77,32.0,"condomínio da cunha, 964",conjunto califórnia i,ES
..***.***06,46.0,"praia de almeida, 38",vila nova gameleira 3ª seção,MG
..***.***83,22.0,"aeroporto santos, 94",ademar maldonado,PI
..***.***93,74.0,"alameda de da mata, 18",barroca,MS
..***.***55,80.0,"aeroporto aragão, 8",guarani,DF
..***.***96,55.0,"vereda daniel gonçalves, 6",bacurau,PB
..***.***57,62.0,"conjunto de cunha, 63",estrela,SP
..***.***65,21.0,"rodovia de cavalcanti, 47",capitão eduardo,AP
..***.***51,98.0,"loteamento thiago fernandes, 51",graça,PB
..***.***34,48.0,praça breno ribeiro,vista do sol,PB
..***.***78,74.0,"viela alice nogueira, 65",olaria,MA
..***.***31,65.0,aeroporto cavalcanti,coqueiros,SE
..***.***00,56.0,travessa de santos,garças,MT
..***.***39,92.0,"passarela isis porto, 38",capitão eduardo,PA
..***.***05,24.0,"parque daniel pinto, 7",vista alegre,MT
..***.***50,32.0,"vila letícia da paz, 17",marajó,CE
..***.***00,99.0,colônia de moura,morro dos macacos,PR
..***.***04,62.0,"alameda joão pedro castro, 14",vila fumec,AM
..***.***29,33.0,via de jesus,caetano furquim,MG
..***.***24,45.0,"feira marcos vinicius da cruz, 317",leonina,MA
..***.***76,85.0,"via de ferreira, 44",cidade jardim,MG
..***.***00,89.0,"aeroporto de ribeiro, 65",mariquinhas,AM
..***.***19,64.0,"loteamento otávio freitas, 74",camponesa 2ª seção,TO
..***.***84,82.0,área maria fernanda pinto,nova pampulha,MT
..***.***30,29.0,"alameda da mata, 64",vila boa vista,MG
..***.***80,32.0,"estrada de ribeiro, 73",buritis,MG
..***.***04,97.0,"aeroporto de nascimento, 13",pongelupe,PR
..***.***60,24.0,"chácara de costa, 62",aparecida,PI
..***.***67,23.0,"campo da costa, 719",olaria,GO
..***.***68,99.0,"quadra de monteiro, 43",novo das industrias,CE
..***.***41,39.0,estrada pereira,vila batik,PE
..***.***08,79.0,"lagoa de da rocha, 60",jardim atlântico,PI
..***.***01,43.0,"parque alícia cavalcanti, 234",vila piratininga,CE
..***.***79,57.0,"largo de duarte, 24",barro preto,BA
..***.***99,27.0,"campo enrico lima, 20",trevo,TO
..***.***01,100.0,"favela martins, 7",barão homem de melo 2ª seção,ES
..***.***58,30.0,"ladeira barros, 84",xodo-marize,AP
..***.***97,40.0,"jardim silveira, 35",dona clara,RR
..***.***55,46.0,"viaduto evelyn ribeiro, 56",dom silverio,MG
..***.***47,79.0,"campo de farias, 77",paulo vi,AM
..***.***05,45.0,"loteamento alice freitas, 3",santa lúcia,AL
..***.***60,20.0,"trecho alícia monteiro, 61",são jorge 3ª seção,AL
..***.***40,84.0,"alameda pinto, 59",cinquentenário,MT
..***.***03,77.0,"condomínio larissa teixeira, 216",olhos d'água,BA
..***.***19,77.0,"vale de da mata, 75",bela vitoria,TO
..***.***10,73.0,trevo beatriz cardoso,prado,AP
..***.***44,67.0,"feira souza, 65",santa helena,AL
..***.***91,53.0,"fazenda luiza campos, 62",horto,GO
..***.***53,74.0,"loteamento de gomes, 86",liberdade,RS
..***.***21,28.0,"condomínio marina costela, 29",morro dos macacos,RR
..***.***35,100.0,"feira letícia nascimento, 5",unidas,MA
..***.***83,45.0,"aeroporto de ribeiro, 57",coração de jesus,MT
..***.***77,36.0,"feira moura, 2",das industrias i,PB
..***.***53,78.0,"favela peixoto, 76",mangueiras,PE
..***.***26,21.0,"distrito rezende, 61",jardim américa,MT
..***.***44,61.0,"favela caldeira, 98",maria helena,DF
..***.***88,29.0,"chácara campos, 423",vila são geraldo,MG
..***.***30,99.0,"parque alves, 70",flavio de oliveira,RN
..***.***37,65.0,sítio luiz gustavo cunha,nova vista,RJ
..***.***70,45.0,"viela yago oliveira, 70",serrano,RN
..***.***04,81.0,"alameda joão fernandes, 25",estrela do oriente,GO
..***.***97,23.0,"trevo de rezende, 83",coqueiros,AL
..***.***70,39.0,"área de gonçalves, 31",vila real 2ª seção,RR
..***.***00,42.0,"aeroporto de gomes, 936",vila santo antônio,MT
..***.***14,43.0,"trevo correia, 72",olhos d'água,RN
..***.***29,26.0,"viaduto vitor gabriel ferreira, 32",minas brasil,GO
..***.***29,41.0,"alameda teixeira, 9",vila são joão batista,AL
..***.***00,91.0,"pátio de nunes, 3",vila nova dos milionarios,CE
..***.***61,89.0,campo de da paz,nova vista,PE
..***.***01,64.0,"trevo marcos vinicius jesus, 4",alpes,AL
..***.***94,78.0,"parque de teixeira, 132",vila de sá,AM
..***.***07,34.0,"área lima, 7",vila são francisco,PI
..***.***80,24.0,"trecho pires, 10",nazare,MS
..***.***75,86.0,pátio de da rosa,glória,SE
..***.***65,42.0,avenida emilly pereira,distrito industrial do jatoba,AL
..***.***24,31.0,quadra costa,bonsucesso,MA
..***.***85,59.0,"vale rezende, 20",juliana,AL
..***.***11,62.0,"sítio nascimento, 64",são lucas,MG
..***.***07,24.0,"estrada eduardo porto, 85",boa vista,MA
..***.***91,86.0,"estação da cruz, 13",primeiro de maio,PI
..***.***90,25.0,"distrito clara viana, 41",lajedo,CE
..***.***51,66.0,"viela de das neves, 139",novo glória,DF
..***.***56,73.0,"travessa de barros, 4",santa helena,PB
..***.***78,93.0,"viela viana, 95",santa rita de cássia,CE
..***.***42,88.0,"feira vieira, 28",vila são dimas,SC
..***.***01,52.0,"rodovia cardoso, 377",santa cecilia,MT
..***.***20,41.0,"praia almeida, 6",beira linha,AM
..***.***94,37.0,"aeroporto de da rocha, 27",união,MS
..***.***21,20.0,"rodovia laís nunes, 50",vila madre gertrudes 2ª seção,RR
..***.***83,99.0,"rodovia de souza, 416",conjunto são francisco de assis,PI
..***.***89,99.0,"praia costa, 3",vila santo antônio barroquinha,AC
..***.***34,75.0,via porto,conjunto capitão eduardo,PR
..***.***69,64.0,"campo cauã freitas, 66",xangri-lá,PB
..***.***10,68.0,"condomínio cunha, 74",camponesa 2ª seção,PA
..***.***85,71.0,núcleo pietro barros,vila piratininga,PE
..***.***66,78.0,"aeroporto melo, 31",conjunto celso machado,AC
..***.***26,84.0,"condomínio de lima, 66",mirtes,GO
..***.***78,31.0,"pátio davi lucca viana, 6",gameleira,PA
..***.***08,67.0,"feira gonçalves, 4",vila paquetá,AP
..***.***16,69.0,núcleo viana,conjunto jatoba,RN
..***.***60,27.0,"feira de oliveira, 1",mariquinhas,RN
..***.***68,56.0,"campo araújo, 10",tiradentes,GO
..***.***07,80.0,lagoa ana sophia oliveira,pedreira padro lopes,RN
..***.***11,33.0,"jardim sales, 42",conjunto minas caixa,RO
..***.***92,75.0,"morro aragão, 796",estrela,MT
..***.***01,75.0,"aeroporto pietro oliveira, 4",parque são josé,RR
..***.***69,86.0,"rodovia pedro henrique santos, 46",lagoa,AL
..***.***82,47.0,"praia ferreira, 17",heliopolis,RJ
..***.***10,47.0,"vila de farias, 46",minas caixa,AL
..***.***01,78.0,"campo yasmin moreira, 49",funcionários,AP
..***.***89,82.0,"avenida lavínia castro, 46",marieta 2ª seção,SP
..***.***50,84.0,condomínio levi almeida,vila nova cachoeirinha 3ª seção,AM
..***.***51,71.0,"viela isis gomes, 43",petropolis,AP
..***.***00,47.0,"jardim luiz felipe duarte, 1",bela vitoria,RR
..***.***86,34.0,"jardim almeida, 48",belvedere,MS
..***.***59,52.0,"pátio de ribeiro, 16",pindura saia,RJ
..***.***01,21.0,"ladeira mariane santos, 7",distrito industrial do jatoba,SE
..***.***76,84.0,"vila silveira, 86",gameleira,PB
..***.***10,62.0,"ladeira duarte, 35",urca,MT
..***.***11,58.0,"viaduto de novaes, 952",dom cabral,SP
..***.***87,58.0,"aeroporto isaac da conceição, 1",vila jardim montanhes,MT
..***.***92,54.0,"fazenda de porto, 4",santa lúcia,PR
..***.***25,85.0,"distrito de moraes, 56",alto vera cruz,AP
..***.***24,65.0,"jardim novaes, 13",sion,RO
..***.***80,69.0,"ladeira de da conceição, 76",venda nova,TO
..***.***23,50.0,"passarela de porto, 65",pousada santo antonio,PI
..***.***16,52.0,"travessa de farias, 9",esplanada,RS
..***.***79,95.0,"parque da luz, 3",grajaú,RR
..***.***59,95.0,"parque de silveira, 6",são jorge 3ª seção,MS
..***.***50,63.0,"campo santos, 714",alto barroca,RJ
..***.***64,37.0,"área de moreira, 82",das industrias i,DF
..***.***25,32.0,viela kamilly cunha,vista do sol,SP
..***.***57,43.0,"campo de da cruz, 22",conjunto são francisco de assis,SC
..***.***00,78.0,rodovia cunha,das industrias i,MA
..***.***71,66.0,"passarela joão pedro nunes, 6",vila oeste,DF
..***.***41,75.0,"estação alves, 8",vila petropolis,PE
..***.***57,57.0,"viela da costa, 16",canadá,MA
..***.***93,91.0,"vale nogueira, 8",bela vitoria,CE
..***.***69,46.0,"parque helena pires, 852",vila jardim são josé,AL
..***.***46,83.0,"vereda da mota, 37",vila da luz,SE
..***.***35,39.0,"praia bryan martins, 8",santa amelia,SE
..***.***95,67.0,"largo maysa cavalcanti, 6",vila satélite,AP
..***.***39,55.0,"alameda de campos, 32",vila são rafael,AL
..***.***48,90.0,"jardim de lima, 1",das industrias i,MT
..***.***73,52.0,aeroporto noah jesus,diamante,BA
..***.***00,98.0,"feira jesus, 20",aparecida 7ª seção,DF
..***.***30,22.0,"campo emanuelly gonçalves, 51",novo glória,BA
..***.***26,98.0,"alameda de carvalho, 150",saudade,RR
..***.***77,70.0,"trevo nina pereira, 99",álvaro camargos,CE
..***.***41,35.0,"morro eduarda farias, 92",aarão reis,AC
..***.***03,59.0,"vale davi luiz dias, 709",vila oeste,CE
..***.***04,100.0,"favela elisa barbosa, 521",jardim vitoria,SC
..***.***83,75.0,"aeroporto laura gonçalves, 7",vila vista alegre,MG
..***.***50,32.0,"setor de da luz, 81",são cristóvão,GO
..***.***20,100.0,"trevo de moreira, 63",araguaia,PI
..***.***17,77.0,"ladeira peixoto, 85",são marcos,MA
..***.***08,36.0,colônia maitê cardoso,copacabana,DF
..***.***05,30.0,"praia de campos, 94",candelaria,PR
..***.***95,98.0,"área moreira, 8",grajaú,PA
..***.***10,70.0,jardim de dias,mirtes,CE
..***.***67,48.0,"viela de gonçalves, 79",vila havaí,SC
..***.***49,50.0,"campo de nascimento, 5",serra do curral,SP
..***.***92,88.0,"viaduto farias, 15",sagrada família,PR
..***.***39,59.0,"jardim cavalcanti, 94",petropolis,BA
..***.***07,30.0,"lago de lopes, 6",floramar,GO
..***.***78,34.0,"aeroporto de fogaça, 29",santa sofia,TO
..***.***09,37.0,"travessa de da luz, 42",vila nova paraíso,MS
..***.***12,34.0,"estação de da costa, 211",pilar,PA
..***.***07,78.0,"recanto rodrigues, 80",minas caixa,PI
..***.***15,67.0,"praia daniel barbosa, 847",silveira,BA
..***.***42,79.0,estação miguel rodrigues,coração de jesus,AL
..***.***17,85.0,"trevo sofia moreira, 67",alta tensão 1ª seção,CE
..***.***31,75.0,"quadra de alves, 729",camponesa 2ª seção,PA
..***.***00,99.0,"aeroporto jesus, 2",são francisco,ES
..***.***49,81.0,"alameda araújo, 53",piratininga,MS
..***.***90,78.0,"viela de sales, 68",nova esperança,TO
..***.***70,67.0,"morro ryan da luz, 43",vila nova gameleira 2ª seção,PB
..***.***78,85.0,área ferreira,jardim montanhês,AP
..***.***01,54.0,"conjunto farias, 36",silveira,SE
..***.***89,45.0,praia marina da rosa,são jorge 3ª seção,AC
..***.***66,95.0,"via de viana, 68",beija flor,SC
..***.***26,33.0,"viela campos, 2",anchieta,MG
..***.***50,93.0,"vereda de aragão, 15",horto,RR
..***.***07,30.0,"vereda de souza, 13",europa,PR
..***.***03,88.0,"colônia da costa, 7",ouro minas,SE
..***.***31,78.0,"vale de caldeira, 8",ribeiro de abreu,AL
..***.***00,100.0,"praia de silva, 91",joão pinheiro,ES
..***.***88,98.0,avenida da luz,vila inestan,AL
..***.***89,89.0,"estrada de da rosa, 69",jonas veiga,AP
..***.***03,87.0,"morro da rocha, 84",tirol,MT
..***.***09,22.0,"estrada sabrina freitas, 40",acaba mundo,DF
..***.***33,73.0,"recanto miguel moraes, 45",penha,RS
..***.***69,60.0,"feira de farias, 28",horto,RS
..***.***01,71.0,"sítio moura, 50",ápia,GO
..***.***60,49.0,"trevo davi lucca da cruz, 72",boa união 1ª seção,PI
..***.***82,61.0,"chácara da mota, 218",conjunto floramar,RJ
..***.***50,74.0,"feira martins, 78",estrela do oriente,RN
..***.***40,30.0,"setor luiz henrique monteiro, 4",madri,MG
..***.***80,36.0,"chácara de da mota, 4",pompéia,PA
..***.***78,62.0,Endereço inválido,Desconhecido,Estado inválido
..***.***40,30.0,residencial noah mendes,vila atila de paiva,SC
..***.***47,63.0,"fazenda moraes, 80",vila vista alegre,ES
..***.***76,91.0,"travessa leandro da mata, 898",vila sesc,RO
..***.***57,50.0,"área raquel moura, 8",mangabeiras,TO
..***.***01,55.0,condomínio de santos,jaraguá,MG
..***.***15,27.0,"estação lara almeida, 67",sagrada família,PE
..***.***05,92.0,residencial de mendes,jardim guanabara,RR
..***.***74,41.0,"aeroporto emanuel barros, 4",tres marias,DF
..***.***91,74.0,"trecho gomes, 3",barreiro,GO
..***.***56,92.0,"alameda paulo da cruz, 70",vila madre gertrudes 3ª seção,PR
..***.***40,33.0,"residencial pinto, 95",etelvina carneiro,DF
..***.***37,77.0,"lagoa de silveira, 91",trevo,PI
..***.***42,53.0,"condomínio moura, 504",santa helena,SE
..***.***32,94.0,distrito de cavalcanti,vila barragem santa lúcia,RJ
..***.***10,85.0,"favela letícia jesus, 34",novo ouro preto,MG
..***.***59,51.0,"feira de da conceição, 796",mangabeiras,SE
..***.***60,83.0,morro de ramos,conjunto taquaril,AM
..***.***30,22.0,"quadra lopes, 69",vila da paz,CE
..***.***37,93.0,"jardim de carvalho, 5",santo andré,AL
..***.***09,20.0,"vereda araújo, 18",garças,PI
..***.***50,99.0,"pátio fernandes, 59",vila ouro minas,AM
..***.***39,84.0,"jardim vinicius caldeira, 28",jonas veiga,DF
..***.***12,73.0,"passarela de araújo, 123",andiroba,AM
..***.***31,60.0,"rodovia eduarda ramos, 87",engenho nogueira,PB
..***.***55,99.0,"viela ana júlia fernandes, 25",pirineus,AC
..***.***67,100.0,"vereda cauê barbosa, 141",conjunto providencia,MA
..***.***57,69.0,"campo rodrigues, 351",brasil industrial,MS
..***.***00,87.0,"residencial de sales, 5",vila cloris,SE
..***.***53,59.0,"área de castro, 108",nova vista,PI
..***.***17,59.0,"estrada fernanda jesus, 2",santa margarida,AC
..***.***76,58.0,"lagoa pietro da cruz, 524",vila santa monica 2ª seção,RO
..***.***80,22.0,"rodovia de porto, 90",marieta 2ª seção,GO
..***.***05,23.0,"parque de gomes, 71",mala e cuia,PA
..***.***12,96.0,"esplanada de moura, 30",vila petropolis,PA
..***.***89,69.0,distrito moraes,indaiá,MS
..***.***85,77.0,"lago da luz, 59",suzana,AM
..***.***73,63.0,"favela beatriz da costa, 77",antonio ribeiro de abreu 1ª seção,RJ
..***.***11,69.0,"passarela davi lucca lopes, 37",ernesto nascimento,MG
..***.***83,38.0,"vereda de da mota, 564",jaqueline,MA
..***.***11,52.0,"favela costa, 372",serra,GO
..***.***23,32.0,"distrito jesus, 34",vila rica,RS
..***.***34,71.0,"viela de castro, 27",álvaro camargos,DF
..***.***42,28.0,"campo moreira, 48",tirol,RN
..***.***65,53.0,"favela de da rocha, 6",carlos prates,MS
..***.***05,28.0,condomínio maria julia cavalcanti,vila são dimas,PA
..***.***22,75.0,chácara maria fernanda castro,marajó,PB
..***.***80,89.0,ladeira castro,jardim são josé,MA
..***.***12,78.0,"largo cavalcanti, 96",floramar,SC
..***.***13,,"pátio de da paz, 57",são joão,SC
..***.***51,79.0,"recanto de novaes, 32",serra do curral,TO
..***.***06,93.0,"jardim stella da costa, 91",pompéia,BA
..***.***79,52.0,"residencial marina azevedo, 89",lagoinha leblon,MT
..***.***50,48.0,"praça joão rezende, 30",céu azul,RJ
..***.***99,95.0,"chácara alice ferreira, 678",vila calafate,TO
..***.***52,61.0,estação de rodrigues,tres marias,PA
..***.***19,71.0,trevo vieira,nossa senhora aparecida,AP
..***.***78,73.0,"sítio de novaes, 75",vila são dimas,AL
..***.***31,60.0,"área da costa, 29",dona clara,MS
..***.***42,37.0,"feira da costa, 17",vila dos anjos,SE
..***.***48,72.0,"lagoa alves, 97",buritis,MT
..***.***92,75.0,"recanto elisa da mota, 8",alípio de melo,AL
..***.***60,93.0,"setor vinicius moraes, 475",nossa senhora aparecida,TO
..***.***41,84.0,"área oliveira, 91",são paulo,SP
..***.***05,56.0,"aeroporto da rocha, 499",estrela,BA
